,name,salary,specialisation,experience,tags
0,Журналист,,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 4 года 9 месяцев,"['Журналистика', 'Журналистские расследования', 'Контакты с журналистами', 'Музыкальная журналистика', 'Наличие контактов с журналистами', 'Политическая журналистика', 'Литературное редактирование', 'Редактирование', 'Редакторская деятельность', 'Редактирование текстов', 'Корректура текстов', 'Написание текстов', 'Редактирование текстов на иностранном языке', 'Фотомонтаж', 'Видеомонтаж', 'Обработка видео', 'Тележурналистика']"
1,журналист,25000 руб.,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 26 лет 6 месяцев,[]
2,Журналист,28000 руб.,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 4 года 5 месяцев,"['Знаю английский язык, закончила хореографическую школу искусств. Легко нахожу общий язык.']"
3,Журналист-редактор,,"Специализации:Журналист, корреспондентРежиссер, сценаристКопирайтер, редактор, корректор",Опыт работы 9 лет 6 месяцев,"['Коммуникабельность', 'Умение расположить к себе собеседника', 'Креативность', 'Грамотная речь', 'Написание текстов', 'Работа с большим объемом информации', 'Проведение презентаций', 'Грамотность', 'Организация мероприятий', 'Оперативность', 'Ответственность', 'Литературные способности', 'Знание психологии', 'Способность к иностранным языкам', 'Английский язык', 'Арабский язык', 'Французский язык']"
4,Журналист,,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 15 лет,[]
5,Журналист,,"Специализации:Режиссер, сценаристЖурналист, корреспондент",Опыт работы 6 лет 10 месяцев,"['Репортажная фотосъемка', 'Фотомонтаж', 'Постановочная фотография', 'Умение работать в коллективе', 'Работа со СМИ', 'Выездные мероприятия', 'Написание текстов', 'Обработка изображений', 'Обработка видео', 'Ведение переговоров', 'Организаторские навыки', 'Написание рекламных статей', 'Телефонные переговоры', 'Пользователь ПК', 'Деловая переписка', 'MS PowerPoint', 'Написание пресс-релизов', 'Грамотная речь', 'Деловая коммуникация', 'Деловое общение', 'Водительское удостоверение категории B', 'Портретная фотосъемка', 'Предметная фотосъемка', 'Фотография', 'Интерьерная фотография', 'Видеосъемка', 'Видеомонтаж', 'Написание статей', 'Ретушь', 'Пейзажная фотография']"
6,журналист,,"Специализации:Режиссер, сценаристЖурналист, корреспондент",Опыт работы 12 лет 9 месяцев,"['Работа с людьми', 'Написание статей', 'Редакторская деятельность', 'Литературное редактирование', 'Написание рекламных статей', 'Написание пресс-релизов', 'PR', 'Креативность', 'Умение работать в команде', 'Грамотная речь', 'Рерайтинг', 'Работа со СМИ', 'Работа с большим объемом информации']"
7,Журналист ,30000 руб.,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 13 лет,"['Деловое общение', 'Умение проявлять гибкость', 'Внимание к различным нюансам и деталям', 'Умение организовывать работу', 'Критически мыслить', 'Разрешение конфликтов', 'Анализ PR стратегии конкурентов', 'Проведение телефонных интервью', 'Выступления на телевидении', 'выступления на радио', 'Взаимодействие с телевидением']"
8,Журналист,,"Специализации:Журналист, корреспондентРежиссер, сценарист",Опыт работы 10 лет 4 месяца,[]
9,журналист,28000 руб.,"Специализации:Режиссер, сценаристЖурналист, корреспондент",Опыт работы 12 лет 6 месяцев,[]
10,журналист,30000 руб.,"Специализации:Режиссер, сценаристЖурналист, корреспондент",Опыт работы 31 год 6 месяцев,"['Владею РС - Windows, Excel, Word – опытный пользователь, а также имею представление о PowerPoint, Co', 'Журналистика', 'Написание статей', 'Репортажная фотосъемка', 'Редакторская деятельность', 'Написание рекламных сценариев', 'Литературное редактирование', 'Телевидение', 'Управление бюджетом', 'Написание текстов', 'Телевизионное производство', 'Планирование рекламных кампаний', 'Маркетинговое планирование', 'Работа с оргтехникой', 'Административное управление', 'Политическая журналистика', 'Поиск информации в интернет', 'Телефонное интервью', 'Мобильность', 'Работа с документами', 'Корпоративная этика', 'Управление проектами', 'Копирайтинг', 'Написание рекламных статей', 'Организация мероприятий', 'Ведение переговоров', 'Пользователь ПК', 'Управление персоналом', 'Организаторские навыки', 'Английский язык']"
