,name,tags
0,Корреспондент (Журналист),[]
1,Журналист-копирайтер,"['Грамотная речь', 'Грамотность', 'Написание текстов', 'Пользователь ПК', 'Работа в команде', 'Английский язык', 'Написание статей', 'Работа с большим объемом информации', 'Креативность', 'Копирайтинг', 'Поиск информации в интернет', 'Организаторские навыки', 'MS PowerPoint', 'Internet', 'Рерайтинг', 'Высокая скорость печати']"
2,Журналист-копирайтер,"['Написание текстов', 'Грамотность', 'Adobe Photoshop', 'Рерайтинг', 'Написание статей']"
3,Журналист,"['Заключение договоров', 'Ведение переговоров', 'Закупка товаров и услуг', 'Работа в команде', 'Деловое общение', 'Экономический анализ', 'Аналитическое мышление', 'Деловая коммуникация', 'Ориентация на результат', 'Анализ ассортиментной линейки', 'ABC-анализ', 'Конкурентная аналитика', 'Эффективность']"
4,Журналист/SMM-менеджер,"['Пользователь ПК', 'Грамотная речь', 'Грамотность', 'Поиск информации в интернет', 'Наполнение контентом', 'Социальные сети']"
5,Журналист-копирайтер,"['Написание текстов', 'Написание статей', 'Грамотность', 'Копирайтинг', 'Грамотная речь', 'Пользователь ПК', 'Журналистика', 'Креативность', 'Социальные сети', 'Редактирование', 'Корректура текстов', 'MS PowerPoint', 'Ведение групп в социальных сетях']"
6,Журналист,"['СММ', 'Грамотность', 'Работа в команде', 'Журналистика', 'Эмоциональная устойчивость']"
7,Копирайтер/журналист,"['Грамотная речь', 'Грамотность', 'Многозадачность']"
8,Журналист-копирайтер,"['Пользователь ПК', 'Грамотная речь', 'Работа в команде', 'Поиск информации в интернет', 'Грамотность']"
9,Журналист,"['Написание пресс-релизов', 'Организация и планирование рабочего времени', 'Умение работать в коллективе', 'Написание статей', 'Рерайтинг', 'Написание текстов', 'Грамотность', 'Стрессовое интервью', 'Монтаж видео', 'Высшее образование', 'Работа в условиях многозадачности', 'Обработка фото', 'Поиск информации в интернет', 'Электронные СМИ', 'Стремление к профессиональному росту']"
10,Журналист/корреспондент,"['Грамотная речь', 'Поиск информации в интернет']"
11,Журналист-копирайтер,"['Рерайтинг', 'Журналистика', 'Копирайтинг', 'Написание текстов', 'Написание статей']"
12,Редактор сайта,"['Грамотная речь', 'Грамотность', 'Работа в команде', 'Написание текстов', 'Adobe Photoshop']"
13,Журналист Amic.ru,"['Грамотность', 'Написание текстов', 'Креативность', 'Деловая переписка', 'Грамотная речь', 'Деловая этика', 'Интервьюирование', 'Поиск информации в интернет', 'Работа в команде']"
14,Журналист,"['Журналистика', 'Деловое общение', 'Работа с большим объемом информации']"
15,Журналист-редактор,"['Английский\xa0— C2 — В совершенстве', 'Пользователь ПК', 'Работа в команде', 'Грамотная речь', 'Английский язык', 'MBA']"
16,Главный редактор,"['Контакты с журналистами', 'Нефтегаз', 'Руководство коллективом', 'Управление процессами', 'Работа в условиях многозадачности', 'Добропорядочность', 'Высокая ответственность', 'Грамотность', 'Чувство стиля', 'Подготовка презентаций']"
17,Журналист / фотокорреспондент,[]
18,PR-менеджер,"['PR', 'Публичные выступления', 'Написание текстов', 'Наличие контактов с журналистами', 'PR первых лиц компании']"
19,PR-специалист (автор статей/журналист),"['Работа с компьютером', 'Образованность', 'Коммуникабельность, ответственность', 'Ответственность и пунктуальность', 'Знание компьютера', 'Написание статей', 'Написание текстов', 'Грамотная речь', 'Работа в команде', 'CorelDRAW']"
20,Журналист-копирайтер,"['Грамотность', 'Написание рекламных статей', 'Сбор и анализ информации', 'Контакты с журналистами', 'Грамотная письменная речь', 'Высокая энергичность и инициативность', 'Работа в команде', 'Креативность', 'Деловая коммуникация']"
21,Журналист-редактор,[]
22,Редактор звездных новостей,"['Английский\xa0— B2 — Средне-продвинутый', 'Написание статей', 'Английский язык', 'Журналистика', 'Грамотность', 'Написание текстов', 'Написание новостей']"
23,Копирайтер/PR-менеджер,"['Английский\xa0— B1 — Средний', 'PR', 'Копирайтинг', 'Английский язык', 'Грамотная речь']"
24,Журналист,"['Грамотность', 'Грамотная речь', 'Работа в команде', 'Написание текстов', 'CMS Wordpress']"
25,Корреспондент,"['Написание статей', 'Написание текстов', 'Журналистика', 'Грамотность', 'Написание рекламных статей']"
26,Журналист,['Журналистика']
27,"Корреспондент / редактор ""Федеральный бизнес журнал Сибирь""","['Активные продажи', 'Ведение переговоров', 'Организаторские навыки', 'Работа в команде', 'Управление проектами', 'Телефонные переговоры', 'Грамотная речь']"
28,Журналист в недвижимости,"['Написание текстов', 'Написание статей', 'Грамотная речь', 'Интервьюирование', 'Сбор и анализ информации', 'Журналистика', 'Работа со СМИ', 'Мониторинг СМИ', 'Переговоры', 'Контакты с журналистами', 'написание аналитических текстов', 'Работа с социальными сетями', 'Журналистские расследования', 'Мониторинг рынка']"
29,Журналист (лента спортивных новостей),['Грамотность']
30,Журналист/корреспондент,"['Поиск информации в интернет', 'Грамотная речь', 'Журналистика', 'Написание текстов', 'Деловое общение']"
31,Журналист-копирайтер,"['Написание текстов', 'Написание статей', 'Грамотность', 'Копирайтинг', 'Грамотная речь', 'Журналистика', 'Рерайтинг', 'Написание пресс-релизов', 'Креативность']"
32,Журналист (собственный корреспондент),"['Написание текстов', 'Написание статей', 'Грамотность', 'Рерайтинг', 'Грамотная речь', 'Работа в команде', 'Мониторинг СМИ', 'Редакторская деятельность']"
33,Журналист (менеджер телеграм-канала),"['Грамотная речь', 'Написание текстов', 'Оперативный поиск информации в сети Интернет', 'Sony Vegas', 'Telegram']"
34,Журналист/редактор новостной ленты,"['Пользователь ПК', 'Грамотная речь', 'Работа в команде', 'Поиск информации в интернет', 'Грамотность']"
35,Журналист,"['Грамотная речь', 'Грамотность', 'Поиск информации в интернет', 'Написание текстов', 'Написание статей', 'Сбор и анализ информации', 'Креативность', 'Желание учиться и развиваться', 'Желание обучаться', 'Желание учиться новому', 'Опытный пользовать ПК, знание MS Office', 'Грамотная письменная речь']"
36,Экономический журналист,"['Английский язык', 'Грамотная речь', 'Написание статей', 'Грамотность', 'Interviews', 'Редактирование материалов', 'Коммуникабельность']"
37,Журналист,"['Грамотная речь', 'Грамотность', 'Поиск информации в интернет', 'Политический анализ', 'Контакты с журналистами']"
38,Журналист 74.RU,"['Написание статей', 'Журналистика', 'Работа с людьми', 'Грамотная речь', 'Написание текстов']"
39,Корреспондент-редактор,"['Грамотная речь', 'Грамотность', 'Написание текстов', 'Поиск информации в интернет', 'Креативность']"
40,PR-менеджер,"['Поиск информации в интернет', 'Гарантийное обслуживание', 'Стрессовое интервью', 'Работа в условиях многозадачности', 'Soft skills', 'PR', 'Организация пресс-конференций', 'PR первых лиц компании', 'Формирование пула лояльных СМИ', 'Электронные СМИ', 'Вывод компании на рынок', 'Деловые СМИ', 'Наличие контактов с журналистами']"
41,Журналист,[]
42,Журналист (общественно-политическая тематика),"['Грамотность', 'Написание текстов', 'Креативность', 'Политическая журналистика', 'Политический анализ', 'Деловая коммуникация', 'Работа с большим объемом информации', 'Написание статей', 'Социальные сети', 'Работа со смыслами']"
43,Редактор ленты новостей,"['Написание статей', 'Журналистика', 'Написание текстов', 'Грамотность', 'Пользователь ПК']"
44,Журналист,"['Грамотность', 'Пользователь ПК', 'Грамотная речь', 'Навыки межличностного общения']"
45,"Журналист ""Наука в Сибири"" СО РАН","['Грамотная речь', 'Написание текстов', 'Грамотность', 'Поиск информации в интернет', 'Организация мероприятий', 'Организационные навыки', 'Вовлеченность', 'Грамотная письменная речь', 'Быстрая печать', 'Быстрый набор текста', 'ПК', 'умение фотографировать']"
46,Автор-журналист,"['Журналистика', 'Написание статей']"
47,Журналист,[]
